Shipment_ID,Origin_Warehouse,Destination,Carrier,Shipment_Date,Delivery_Date,Weight_kg,Cost,Status,Distance_miles,Transit_Days
SH10086,Warehouse_SEA,Minneapolis,DHL,2023-11-22,2023-11-29,13.5,422.32,Delivered,2388,7
SH10087,Warehouse_CHI,Chicago,OnTrac,2023-11-21,2023-11-30,17.1,214.99,Delayed,1284,4
SH10088,Warehouse_HOU,Miami,USPS,2023-06-21,2023-06-24,37.0,184.07,Delivered,1198,3
SH10089,Warehouse_NYC,Portland,LaserShip,2023-11-10,2023-11-14,127.8,247.54,Delivered,1482,4
SH10090,Warehouse_MIA,Chicago,OnTrac,2023-01-27,2023-01-29,10.8,83.32,Returned,530,2
SH10091,Warehouse_ATL,Los Angeles,Amazon Logistics,2023-11-28,2023-12-09,8.5,151.64,Delayed,920,4
SH10092,Warehouse_DEN,Los Angeles,LaserShip,2023-04-26,2023-05-01,16.0,277.61,Delivered,1950,5
SH10093,Warehouse_MIA,Houston,UPS,2023-03-03,2023-03-08,32.9,337.04,Delivered,2233,5
SH10094,Warehouse_ATL,San Francisco,OnTrac,2023-04-17,2023-04-24,29.5,167.82,Delivered,1022,7
SH10095,Warehouse_MIA,Detroit,Amazon Logistics,2023-07-01,2023-07-04,18.6,191.08,Delivered,1447,3
SH10096,Warehouse_MIA,Atlanta,DHL,2023-08-20,2023-08-21,9.6,42.77,Delivered,241,1
SH10097,Warehouse_MIA,Atlanta,Amazon Logistics,2023-09-19,,80.4,259.98,Delivered,1554,5
SH10098,Warehouse_BOS,Miami,OnTrac,2023-05-10,2023-05-15,11.1,273.63,Delivered,2053,5
SH10099,Warehouse_SEA,Phoenix,LaserShip,2023-07-18,2023-07-21,14.6,141.34,Delivered,1158,3
SH10100,Warehouse_CHI,Atlanta,Amazon Logistics,2023-04-10,2023-04-17,11.9,277.05,Delivered,2109,7
SH10101,Warehouse_DEN,Miami,LaserShip,2023-08-28,2023-08-30,51.0,,Delivered,179,2
SH10102,Warehouse_BOS,Houston,DHL,2023-07-17,2023-07-24,8.6,352.85,Delivered,2465,7
SH10103,Warehouse_BOS,New York,Amazon Logistics,2023-01-14,2023-01-25,6.3,283.56,Delivered,2366,11
SH10104,Warehouse_SEA,New York,FedEx,2023-12-13,2023-12-16,16.6,121.29,Delivered,543,3
SH10105,Warehouse_MIA,New York,DHL,2023-04-23,2023-05-06,40.7,270.27,Delayed,1682,6
SH10106,Warehouse_HOU,Denver,OnTrac,2023-08-19,2023-08-22,22.6,149.52,Delivered,1030,3
SH10107,Warehouse_NYC,Chicago,UPS,2023-07-30,2023-08-02,44.3,140.74,Delivered,790,3
SH10108,Warehouse_MIA,Minneapolis,LaserShip,2023-08-15,2023-08-19,12.8,198.31,Delivered,1534,4
SH10109,Warehouse_DEN,Phoenix,LaserShip,2023-12-13,,16.5,73.12,Delivered,371,2
SH10110,Warehouse_CHI,Houston,DHL,2023-09-22,2023-09-29,46.1,409.06,Delivered,2306,7
SH10111,Warehouse_SF,New York,FedEx,2023-05-24,2023-05-29,19.2,273.26,Delivered,1810,5
SH10112,Warehouse_HOU,Chicago,Amazon Logistics,2023-02-02,2023-02-16,7.6,41.42,Delayed,277,2
SH10113,Warehouse_CHI,Chicago,USPS,2023-06-07,2023-06-13,38.1,272.16,Delivered,1953,6
SH10114,Warehouse_SF,Los Angeles,FedEx,2023-04-03,2023-03-04,23.2,270.43,Delivered,1800,4
SH10115,Warehouse_NYC,Portland,LaserShip,2023-07-20,2023-07-25,22.8,267.89,Delivered,1951,5
SH10116,Warehouse_BOS,Houston,FedEx,2023-01-05,2023-01-12,18.8,249.35,Delivered,1744,7
SH10117,Warehouse_CHI,Minneapolis,Amazon Logistics,2023-05-18,2023-05-22,14.0,171.55,Delivered,1323,4
SH10118,Warehouse_DEN,Denver,OnTrac,2023-03-24,2023-04-01,17.6,215.18,Delayed,1646,4
SH10119,Warehouse_DEN,Minneapolis,DHL,2023-07-10,2023-07-11,21.6,64.74,Delivered,261,1
SH10120,Warehouse_SEA,Denver,Amazon Logistics,2023-09-26,2023-10-02,8.2,278.34,Delivered,2330,6
SH10121,Warehouse_CHI,Houston,FedEx,2023-03-06,2023-03-11,25.1,165.41,Delivered,973,5
SH10122,Warehouse_HOU,New York,Amazon Logistics,2023-05-18,2023-05-25,14.4,280.59,Delivered,2399,7
SH10123,Warehouse_ATL,Phoenix,OnTrac,2023-08-10,2023-08-14,50.1,210.77,Delivered,1297,4
SH10124,Warehouse_ATL,San Francisco,USPS,2023-04-05,2023-04-11,20.3,150.38,Delivered,1200,6
SH10125,Warehouse_CHI,Miami,USPS,2023-06-28,2023-07-02,11.8,180.52,Delivered,1350,4
SH10126,Warehouse_SEA,Miami,UPS,2023-09-02,2023-09-09,90.2,384.64,Delivered,2188,7
SH10127,Warehouse_LA,Miami,UPS,2023-10-05,2023-10-13,30.1,156.74,Delivered,1075,8
SH10128,Warehouse_BOS,Miami,LaserShip,2023-10-18,2023-10-27,3.2,159.82,Delivered,1260,9
SH10129,Warehouse_MIA,Miami,LaserShip,2023-04-17,2023-04-22,31.9,260.72,Delivered,1926,5
SH10130,Warehouse_MIA,Phoenix,LaserShip,2023-12-01,2023-12-06,15.1,321.82,Delivered,2204,5
SH10131,Warehouse_SF,Seattle,OnTrac,2023-05-26,2023-06-02,19.2,253.39,Returned,2048,7
SH10132,Warehouse_DEN,San Francisco,DHL,2023-07-07,,8.4,,Delivered,815,3
SH10133,Warehouse_NYC,Atlanta,UPS,2023-12-23,2023-12-26,26.4,186.75,Delivered,870,3
SH10134,Warehouse_SF,Portland,LaserShip,2023-01-03,2023-01-10,24.4,313.23,Delivered,2314,7
SH10135,Warehouse_LA,San Francisco,DHL,2023-09-16,2023-09-19,59.4,234.64,Delivered,1070,3
SH10136,Warehouse_CHI,Miami,FedEx,2023-11-04,2023-11-10,15.9,257.13,Delivered,1350,6
SH10137,Warehouse_DEN,Boston,Amazon Logistics,2023-02-10,2023-02-14,17.5,208.17,Delivered,1476,4
SH10138,Warehouse_NYC,Houston,OnTrac,2023-11-08,2023-11-11,66.5,199.04,Delivered,672,3
SH10139,Warehouse_CHI,Houston,USPS,2023-03-10,2023-03-13,19.4,169.99,Delivered,1300,3
SH10140,Warehouse_SEA,Portland,USPS,2023-12-02,2023-12-04,48.0,133.98,Delivered,593,2
SH10141,Warehouse_BOS,Chicago,USPS,2023-10-15,2023-10-20,18.4,237.17,Delivered,1939,5
SH10142,Warehouse_NYC,Chicago,OnTrac,2023-01-06,2023-01-09,38.9,137.82,Delivered,790,3
SH10143,Warehouse_LA,San Francisco,OnTrac,2023-02-05,2023-02-12,36.6,310.16,Delivered,2497,7
SH10144,Warehouse_SEA,New York,USPS,2023-05-05,2023-05-07,19.2,81.43,Delivered,510,2
SH10145,Warehouse_HOU,Atlanta,UPS,2023-07-03,2023-07-10,23.4,142.13,Delayed,800,3
SH10146,Warehouse_BOS,Portland,USPS,2023-08-12,2023-08-17,23.7,,Delivered,1459,5
SH10147,Warehouse_ATL,San Francisco,UPS,2023-07-14,2023-07-19,66.8,336.2,Delivered,2262,5
SH10148,Warehouse_NYC,Minneapolis,Amazon Logistics,2023-07-25,2023-07-31,25.8,258.31,Delivered,2078,6
SH10149,Warehouse_LA,New York,DHL,2023-05-22,2023-06-07,38.2,151.35,Lost,775,3
SH10150,Warehouse_SF,Phoenix,LaserShip,2023-05-27,2023-06-01,11.6,278.85,Delivered,2080,5
SH10151,Warehouse_ATL,San Francisco,UPS,2023-11-15,2023-11-30,21.8,123.4,Delayed,573,2
SH10152,Warehouse_HOU,Seattle,FedEx,2023-03-30,2023-04-02,11.5,167.08,Delivered,1125,3
SH10153,Warehouse_MIA,Chicago,LaserShip,2023-11-02,2023-11-17,45.0,118.74,Delayed,382,5
SH10154,Warehouse_MIA,Minneapolis,DHL,2023-05-15,,55.3,362.11,Delivered,2192,6
SH10155,Warehouse_SF,Seattle,USPS,2023-07-22,2023-07-27,12.2,278.15,Delivered,2161,5
SH10156,Warehouse_LA,New York,FedEx,2023-03-07,2023-03-12,54.9,332.76,Delivered,2244,5
SH10157,Warehouse_SEA,Seattle,LaserShip,2023-05-04,2023-05-06,11.9,83.93,Delivered,561,2
SH10158,Warehouse_NYC,Phoenix,Amazon Logistics,2023-12-07,2023-12-09,11.5,69.7,Delivered,388,2
SH10159,Warehouse_HOU,Portland,UPS,2023-05-14,2023-05-23,32.2,334.49,Delivered,2453,9
SH10160,Warehouse_LA,Atlanta,UPS,2023-11-12,2023-11-16,22.1,169.82,Delivered,821,4
SH10161,Warehouse_HOU,Chicago,LaserShip,2023-09-19,2023-09-23,23.8,206.9,Delivered,1566,4
SH10162,Warehouse_BOS,Houston,USPS,2023-03-14,2023-03-16,22.1,79.13,Delivered,465,2
SH10163,Warehouse_CHI,Miami,Amazon Logistics,2023-10-17,2023-10-21,19.7,196.56,Delivered,1350,4
SH10164,Warehouse_CHI,Atlanta,USPS,2023-09-19,2023-09-21,14.6,94.67,Delivered,648,2
SH10165,Warehouse_LA,Denver,OnTrac,2023-11-19,2023-11-21,23.3,117.91,Delivered,586,2
SH10166,Warehouse_SEA,Minneapolis,FedEx,2023-05-06,2023-05-11,20.2,309.57,Delivered,1964,5
SH10167,Warehouse_LA,Miami,UPS,2023-08-23,2023-08-25,5.7,24.11,Delivered,143,2
SH10168,Warehouse_CHI,Houston,Amazon Logistics,2023-07-25,2023-07-29,7.5,157.13,Delivered,1262,4
SH10169,Warehouse_DEN,Phoenix,FedEx,2023-09-01,2023-09-06,84.2,414.53,Delivered,2302,5
SH10170,Warehouse_MIA,Atlanta,USPS,2023-09-25,2023-09-28,18.2,103.05,Delivered,679,3
SH10171,Warehouse_LA,Chicago,Amazon Logistics,2023-09-15,2023-09-17,12.9,114.88,Delivered,755,2
SH10172,Warehouse_SEA,New York,Amazon Logistics,2023-04-23,2023-05-01,35.1,272.06,Delivered,2056,8
SH10173,Warehouse_MIA,Detroit,UPS,2023-07-28,2023-08-01,6.6,156.36,In Transit,1222,4
SH10174,Warehouse_LA,Houston,FedEx,2023-01-05,2023-01-23,11.5,244.22,Delayed,1814,8
SH10175,Warehouse_MIA,Minneapolis,USPS,2023-07-19,2023-07-25,11.6,184.5,Delivered,1454,6
SH10176,Warehouse_NYC,Miami,USPS,2023-06-17,2023-06-19,105.0,180.26,Returned,543,2
SH10177,Warehouse_BOS,Atlanta,DHL,2023-07-30,2023-08-02,13.8,167.23,Delivered,1142,3
SH10178,Warehouse_MIA,Portland,FedEx,2023-06-07,2023-06-10,14.1,137.25,Delivered,810,3
SH10179,Warehouse_CHI,Portland,Amazon Logistics,2023-08-14,2023-08-27,30.3,154.16,Delayed,1081,3
SH10180,Warehouse_DEN,Phoenix,Amazon Logistics,2023-01-21,2023-01-22,19.4,40.24,Delivered,152,1
SH10181,Warehouse_NYC,Phoenix,DHL,2023-09-15,2023-09-20,10.0,156.13,Delivered,1120,5
SH10182,Warehouse_SEA,Portland,Amazon Logistics,2023-01-01,2023-01-10,22.8,319.99,Delivered,2327,9
SH10183,Warehouse_HOU,Dallas,Amazon Logistics,2023-09-24,2023-10-06,7.1,,Delayed,1376,5
SH10184,Warehouse_SF,Houston,Amazon Logistics,2023-11-25,2023-11-30,17.5,347.71,Delivered,2380,5
SH10185,Warehouse_LA,Minneapolis,LaserShip,2023-09-20,2023-09-24,25.6,108.01,Delivered,694,4
SH10186,Warehouse_HOU,New York,FedEx,2023-07-04,2023-07-08,19.6,261.42,Delivered,1791,4
SH10187,Warehouse_LA,New York,OnTrac,2023-04-30,2023-05-02,15.7,67.25,Delivered,411,2
SH10188,Warehouse_SEA,San Francisco,OnTrac,2023-12-20,2023-12-26,7.5,158.02,Delivered,1073,6
SH10189,Warehouse_MIA,Minneapolis,FedEx,2023-07-29,2023-08-02,23.5,261.49,Delivered,1634,4
SH10190,Warehouse_BOS,San Francisco,USPS,2023-02-19,2023-02-25,4.5,277.56,Delivered,2411,6
SH10191,Warehouse_SEA,Detroit,UPS,2023-03-02,2023-03-10,11.9,,Delivered,2481,8
SH10192,Warehouse_SEA,Detroit,FedEx,2023-12-10,2023-12-15,26.5,345.27,Delivered,2052,5
SH10193,Warehouse_NYC,Dallas,LaserShip,2023-11-06,2023-11-14,12.8,378.16,Delivered,2465,8
SH10194,Warehouse_LA,Chicago,DHL,2023-02-19,2023-02-24,29.3,206.8,Delivered,1213,5
SH10195,Warehouse_LA,Houston,LaserShip,2023-05-14,2023-05-18,15.5,174.55,Delivered,1247,4
SH10196,Warehouse_SF,New York,OnTrac,2023-10-16,2023-10-22,19.0,321.04,Lost,2278,6
SH10197,Warehouse_BOS,San Francisco,USPS,2023-05-30,2023-06-07,15.3,300.44,Delayed,2406,7
SH10198,Warehouse_BOS,Denver,UPS,2023-07-15,2023-07-19,4.2,208.73,Delivered,1596,4
SH10199,Warehouse_HOU,San Francisco,OnTrac,2023-01-31,2023-02-03,20.1,169.98,Delivered,1108,3
SH10200,Warehouse_LA,Portland,LaserShip,2023-12-28,2024-01-03,9.6,195.3,Delivered,1380,6
SH10201,Warehouse_DEN,Dallas,UPS,2023-03-28,2023-04-02,5.3,197.9,Delivered,1605,5
SH10202,Warehouse_LA,Atlanta,USPS,2023-12-09,2023-12-23,10.8,232.88,Delayed,1504,4
SH10203,Warehouse_SF,Boston,DHL,2023-01-31,2023-02-05,61.1,350.67,Delivered,2138,5
SH10204,Warehouse_HOU,New York,OnTrac,2023-09-16,2023-09-28,20.1,112.36,Delayed,754,3
SH10205,Warehouse_NYC,Los Angeles,USPS,2023-03-16,,27.9,65.87,Delivered,320,2
SH10206,Warehouse_LA,Houston,LaserShip,2023-03-16,2023-03-20,22.8,242.14,Delivered,1657,4
SH10207,Warehouse_MIA,Detroit,DHL,2023-11-03,2023-11-07,14.7,285.59,Delivered,1423,4
SH10208,Warehouse_LA,Seattle,FedEx,2023-09-12,2023-09-17,32.1,193.72,Delivered,1135,5
SH10209,Warehouse_BOS,Phoenix,DHL,2023-05-18,2023-06-04,8.7,121.73,Delayed,737,4
SH10210,Warehouse_BOS,Detroit,DHL,2023-10-25,2023-10-27,33.7,162.31,Delivered,796,2
SH10211,Warehouse_CHI,Chicago,FedEx,2023-12-15,2023-12-17,28.8,96.12,Delivered,308,2
SH10212,Warehouse_HOU,San Francisco,FedEx,2023-12-15,2023-12-20,9.1,125.92,Returned,787,5
SH10213,Warehouse_ATL,Denver,Amazon Logistics,2023-08-28,2023-09-05,28.5,284.4,Delivered,2074,8
SH10214,Warehouse_HOU,Chicago,DHL,2023-09-22,2023-09-27,88.0,297.28,Delivered,1145,5
SH10215,Warehouse_DEN,Minneapolis,OnTrac,2023-06-07,2023-06-12,21.9,,Delivered,1719,5
SH10216,Warehouse_NYC,Los Angeles,USPS,2023-08-04,2023-08-09,24.1,141.81,Delivered,1082,5
SH10217,Warehouse_ATL,Dallas,FedEx,2023-12-23,2023-12-26,11.9,192.63,Delivered,1204,3
SH10218,Warehouse_HOU,Denver,LaserShip,2023-09-04,2023-09-07,17.9,133.27,Delivered,1030,3
SH10219,Warehouse_BOS,Dallas,Amazon Logistics,2023-05-18,2023-05-20,38.1,120.04,Delivered,603,2
SH10220,Warehouse_ATL,Boston,UPS,2023-07-14,2023-07-19,4.9,203.03,Delivered,1660,5
SH10221,Warehouse_CHI,Chicago,FedEx,2023-09-06,2023-09-09,86.2,210.89,Delivered,862,3
SH10222,Warehouse_CHI,Dallas,UPS,2023-06-28,2023-07-03,12.6,176.77,Delivered,1322,5
SH10223,Warehouse_HOU,Denver,UPS,2023-06-19,2023-06-22,33.8,161.45,Delivered,1030,3
SH10224,Warehouse_MIA,Minneapolis,FedEx,2023-04-28,2023-05-07,14.1,87.12,Delayed,573,3
SH10225,Warehouse_BOS,Portland,Amazon Logistics,2023-09-13,2023-09-18,19.3,98.54,Delayed,585,1
SH10226,Warehouse_HOU,Phoenix,USPS,2023-12-10,2023-12-13,16.6,219.37,Delivered,1469,3
SH10227,Warehouse_SEA,New York,OnTrac,2023-11-29,2023-12-05,16.1,161.74,Delivered,1053,6
SH10228,Warehouse_SEA,Boston,DHL,2023-05-11,2023-05-14,10.8,188.69,In Transit,1329,3
SH10229,Warehouse_DEN,Portland,Amazon Logistics,2023-03-13,2023-03-14,8.8,27.23,Delivered,156,1
SH10230,Warehouse_BOS,Portland,Amazon Logistics,2023-03-01,2023-03-06,12.1,247.5,Delayed,1760,4
SH10231,Warehouse_CHI,Detroit,FedEx,2023-08-30,2023-09-12,19.8,63.39,Delayed,283,2
SH10232,Warehouse_HOU,Houston,OnTrac,2023-12-24,2023-12-27,22.2,81.13,Delivered,397,3
SH10233,Warehouse_ATL,Los Angeles,Amazon Logistics,2023-08-12,2023-08-16,18.5,109.5,Delivered,816,4
SH10234,Warehouse_HOU,Los Angeles,LaserShip,2023-04-28,2023-05-01,10.0,96.03,Returned,715,3
SH10235,Warehouse_NYC,Phoenix,UPS,2023-05-24,2023-05-28,25.9,285.87,Delivered,1956,4
SH10236,Warehouse_BOS,Chicago,Amazon Logistics,2023-07-30,2023-08-04,22.8,277.9,Delivered,2187,5
SH10237,Warehouse_NYC,Seattle,USPS,2023-09-14,2023-09-20,85.5,345.35,Delivered,2172,6
SH10238,Warehouse_MIA,Denver,OnTrac,2023-08-25,2023-08-28,31.8,125.07,Delivered,816,3
SH10239,Warehouse_LA,Atlanta,DHL,2023-06-30,2023-07-07,3.1,185.13,Delivered,1236,7
SH10240,Warehouse_SF,New York,Amazon Logistics,2023-06-24,2023-06-29,54.9,319.88,Delivered,1902,5
SH10241,Warehouse_SEA,Denver,DHL,2023-10-11,2023-10-15,17.6,167.63,Delivered,1038,4
SH10242,Warehouse_SEA,Houston,LaserShip,2023-05-24,2023-05-28,8.7,188.16,Delivered,1590,4
SH10243,Warehouse_ATL,Chicago,DHL,2023-08-12,2023-08-17,11.8,92.57,In Transit,590,5
